name,lat,lon,分類,住所,URL
叶谷榎池,35.67237998,139.3000922,主湧水,叶谷町1079,https://www.city.hachioji.tokyo.jp/kurashi/life/002/004/004/p031650.html
子安神社（明神町）,35.65913569,139.341393,主湧水,明神町4-10-3,https://www.city.hachioji.tokyo.jp/kurashi/life/002/004/004/p031776.html
子安神社（中野山王）,35.67684599,139.3262331,主湧水,中野山王2-23-1,https://www.city.hachioji.tokyo.jp/kurashi/life/002/004/004/p031774.html
片倉城跡公園,35.64036389,139.3380892,主湧水,片倉町2475,https://www.city.hachioji.tokyo.jp/kurashi/life/002/004/004/p031770.html
真覚寺心字池,35.64833647,139.3044779,主湧水,散田町5-36-10,https://www.city.hachioji.tokyo.jp/kurashi/life/002/004/004/p031775.html
六本杉公園,35.64929461,139.3421681,主湧水,子安町2-26-9,https://www.city.hachioji.tokyo.jp/kurashi/life/002/004/004/p031772.html
横川弁天池公園,35.66515858,139.3107612,主湧水,横川町89-5,https://www.city.hachioji.tokyo.jp/kurashi/life/002/004/004/p031771.html
小宮公園,35.67142288,139.343358,主湧水,暁町2-41-6,https://www.city.hachioji.tokyo.jp/kurashi/life/002/004/004/p031773.html
泉町湧水群,35.6745845,139.3035931,湧水,泉町1397-15
清水公園,35.68232358,139.3128999,湧水,犬目町143-2
斟珠寺弁天池,35.64456307,139.3334472,湧水,片倉町86

